Wavelength(nm)      SolarFlux(mW/m^2/nm)
1.00000000e+00      9.80778853e-01      
1.37500000e+00      3.70529775e+00      
2.12500000e+00      1.68200996e+00      
2.87500000e+00      1.22534456e+00      
3.62500000e+00      1.01093330e+00      
4.12500000e+00      4.85869753e-01      
4.37500000e+00      4.53069516e-01      
4.62500000e+00      4.34520504e-01      
4.87500000e+00      3.17837029e-01      
5.12500000e+00      4.13279739e-01      
5.37500000e+00      4.53268315e-01      
5.62500000e+00      2.49315568e-01      
5.87500000e+00      2.78514930e-01      
6.12500000e+00      2.47478340e-01      
6.37500000e+00      4.99952850e-01      
6.62500000e+00      4.12422520e-01      
6.87500000e+00      3.02429782e-01      
7.12500000e+00      1.52176910e-01      
7.37500000e+00      2.14447707e-01      
7.62500000e+00      1.64563017e-01      
7.87500000e+00      1.23269629e-01      
8.12500000e+00      1.20516879e-01      
8.37500000e+00      1.12781972e-01      
8.62500000e+00      1.16686937e-01      
8.87500000e+00      1.34662399e-01      
9.12500000e+00      1.17921228e-01      
9.37500000e+00      1.59578388e-01      
9.62500000e+00      8.77513226e-02      
9.87500000e+00      1.34945564e-01      
1.01250000e+01      1.35985762e+00      
1.03750000e+01      1.36014358e+00      
1.06250000e+01      1.36014358e+00      
1.08750000e+01      1.36014358e+00      
1.11250000e+01      1.36014358e+00      
1.13750000e+01      1.36014358e+00      
1.16250000e+01      1.36014358e+00      
1.18750000e+01      1.36014358e+00      
1.21000000e+01      1.36014358e+00      
1.23000001e+01      1.36014358e+00      
1.25000001e+01      1.36014358e+00      
1.27000002e+01      1.36014358e+00      
1.31125002e+01      1.36014358e+00      
1.37375002e+01      1.36014358e+00      
1.43625002e+01      1.36014358e+00      
1.49875002e+01      1.36014358e+00      
1.55875002e+01      1.36014358e+00      
1.61625003e+01      1.36014358e+00      
1.67375003e+01      1.36014358e+00      
1.73125004e+01      1.36014358e+00      
1.79625003e+01      1.36014358e+00      
1.86875002e+01      1.36014358e+00      
1.94125001e+01      1.36014358e+00      
2.01375000e+01      1.24614503e+00      
2.08250000e+01      1.19284704e+00      
2.14750001e+01      1.19284704e+00      
2.21250002e+01      1.19284704e+00      
2.27750003e+01      1.19284704e+00      
2.35875003e+01      1.19284704e+00      
2.45625002e+01      1.19284704e+00      
2.55375001e+01      1.19284704e+00      
2.65125000e+01      1.19284704e+00      
2.71250000e+01      1.19284704e+00      
2.73750000e+01      1.19284704e+00      
2.76250000e+01      1.19284704e+00      
2.78750000e+01      1.19284704e+00      
2.82500000e+01      1.19284704e+00      
2.87500000e+01      1.19284704e+00      
2.92500000e+01      1.19284704e+00      
2.97500000e+01      1.19283151e+00      
3.02500000e+01      1.05339477e+00      
3.07500000e+01      1.05337924e+00      
3.12500000e+01      1.05337924e+00      
3.17500000e+01      1.05337924e+00      
3.22500000e+01      1.05337924e+00      
3.27500000e+01      1.05337924e+00      
3.32500000e+01      1.05337924e+00      
3.37500000e+01      1.05337924e+00      
3.42500000e+01      1.05337924e+00      
3.47500000e+01      1.05337924e+00      
3.52500000e+01      1.05337924e+00      
3.57500000e+01      1.05337924e+00      
3.61250000e+01      1.05337924e+00      
3.63750000e+01      1.05337924e+00      
3.66250000e+01      1.05337924e+00      
3.68750000e+01      1.05337924e+00      
3.73750000e+01      1.05337924e+00      
3.81250000e+01      1.05337924e+00      
3.88750000e+01      1.05337924e+00      
3.96250000e+01      1.05330278e+00      
4.03750000e+01      2.31593832e-02      
4.11250000e+01      2.30829166e-02      
4.18750000e+01      2.30829166e-02      
4.26250000e+01      2.30829166e-02      
4.33750000e+01      2.30829166e-02      
4.41250000e+01      2.30829166e-02      
4.48750000e+01      2.30829166e-02      
4.56250000e+01      2.30829166e-02      
4.62500000e+01      2.30829166e-02      
4.67500000e+01      2.30829166e-02      
4.72500000e+01      2.30829166e-02      
4.77500000e+01      2.30829166e-02      
4.82500000e+01      2.30829166e-02      
4.87500000e+01      2.30829166e-02      
4.92500000e+01      2.30829166e-02      
4.97500000e+01      2.30847696e-02      
5.02500000e+01      3.97260433e-02      
